136|Great grandparent-grandchild & grand avuncular|4|-1|1/4|13/80|1|0|0|0|0|0|0|0|0|0|0|0|0
137|Grandparent-grandchild & avuncular|137|-1|1/2|0|1|0|0|0|0|0|0|0|0|0|0|0|0
138|Grandparent-grandchild & gr grand avuncular|27|-1|5/16|23/256|1|0|0|0|0|0|0|0|0|0|0|0|0
139|Grandparent-grandchild & 1st cousins, 1 rem|27|-1|5/16|23/256|1|0|0|0|0|0|0|0|0|0|0|0|0
140|Parent-offspring & grand avuncular|140|-1|5/8|0|1|0|0|0|0|0|0|0|0|0|0|0|0
141|Parent-offspring & 1st cousins|141|-1|5/8|0|1|0|0|0|0|0|0|0|0|0|0|0|0
142|Avuncular & 2nd cousins & 1st cousins, 2 rem|27|-1|5/16|23/256|1|0|0|0|0|0|0|0|0|0|0|0|0
143|Siblings & double 1st cousins, 1 rem|143|-1|5/8|0|1|0|0|0|0|0|0|0|0|0|0|0|0
144|Parent-offspring & 2nd cousins & 1st cousins, 2 rem|144|-1|9/16|0|1|0|0|0|0|0|0|0|0|0|0|0|0
145|Gr grandparent-grandchild & gr gr grandparent-grandchild|145|-1|3/16|0|1|0|0|0|0|0|0|0|0|0|0|0|0
146|Half siblings & avuncular|146|-1|1/2|0|1|0|0|0|0|0|0|0|0|0|0|0|0
147|Half sibs & double half avuncular & half 1st cousins|147|-1|9/16|0|1|0|0|0|0|0|0|0|0|0|0|0|0
148|Half avuncular & double half 1st cousins|148|-1|1/4|0|1|0|0|0|0|0|0|0|0|0|0|0|0
149|Half sibs & 1st cousins & double half 1st cousins|149|-1|1/2|0|1|0|0|0|0|0|0|0|0|0|0|0|0
150|Half sibs & half avuncular & half 1st cousins|150|-1|7/16|0|1|0|0|0|0|0|0|0|0|0|0|0|0
151|Half sibs & double half avuncular & 1st cousins|151|-1|5/8|0|1|0|0|0|0|0|0|0|0|0|0|0|0
152|Siblings & double half 2nd cousins|152|-1|17/32|0|1|0|0|0|0|0|0|0|0|0|0|0|0
153|Siblings & double half 1st cousins, 1 rem|153|-1|9/16|0|1|0|0|0|0|0|0|0|0|0|0|0|0
154|Avuncular & 1st cousins, 1 rem|27|-1|5/16|23/256|1|0|0|0|0|0|0|0|0|0|0|0|0
155|Grand avuncular & 1st cousins, 2 rem|7|-1|5/32|63/1024|1|0|0|0|0|0|0|0|0|0|0|0|0
156|Avuncular & grand avuncular|26|-1|3/8|7/64|1|0|0|0|0|0|0|0|0|0|0|0|0
157|Grand avuncular & gr grand avuncular|157|-1|3/16|0|1|0|0|0|0|0|0|0|0|0|0|0|0
158|Avuncular & 1st cousins|26|-1|3/8|7/64|1|0|0|0|0|0|0|0|0|0|0|0|0
159|Avuncular & 1st cousins, 1 rem|26|-1|3/8|7/64|1|0|0|0|0|0|0|0|0|0|0|0|0
160|Siblings & double 2nd cousins, 1 rem|160|-1|17/32|0|1|0|0|0|0|0|0|0|0|0|0|0|0
